taskId,taskName,jobId,resource,priority,releaseTick,absoluteDeadlineTick,executionTicks,firstStartTick,finishTick,preemptionCount,deadlineMiss
1,Sensor,1,vehicle_sensor_cpu,1,0,50,6,0,6,0,0
2,Estimator,1,cloud_estimator_cpu,1,0,100,9,0,9,0,0
6,Actuator,1,vehicle_actuator_cpu,1,0,300,5,0,5,0,0
3,Controller,1,cloud_controller_cpu,2,0,200,3,0,3,0,0
4,Feedforward,1,cloud_feedforward_cpu,3,0,200,12,0,12,0,0
5,Merger,1,cloud_merger_cpu,4,0,200,3,0,3,0,0
1,Sensor,2,vehicle_sensor_cpu,1,50,100,6,50,56,0,0
1,Sensor,3,vehicle_sensor_cpu,1,100,150,6,100,106,0,0
2,Estimator,2,cloud_estimator_cpu,1,100,200,9,100,109,0,0
1,Sensor,4,vehicle_sensor_cpu,1,150,200,6,150,156,0,0
1,Sensor,5,vehicle_sensor_cpu,1,200,250,6,200,206,0,0
2,Estimator,3,cloud_estimator_cpu,1,200,300,9,200,209,0,0
3,Controller,2,cloud_controller_cpu,2,200,400,3,200,203,0,0
4,Feedforward,2,cloud_feedforward_cpu,3,200,400,12,200,212,0,0
5,Merger,2,cloud_merger_cpu,4,200,400,3,200,203,0,0
1,Sensor,6,vehicle_sensor_cpu,1,250,300,6,250,256,0,0
1,Sensor,7,vehicle_sensor_cpu,1,300,350,6,300,306,0,0
2,Estimator,4,cloud_estimator_cpu,1,300,400,9,300,309,0,0
6,Actuator,2,vehicle_actuator_cpu,1,300,600,5,300,305,0,0
1,Sensor,8,vehicle_sensor_cpu,1,350,400,6,350,356,0,0
1,Sensor,9,vehicle_sensor_cpu,1,400,450,6,400,406,0,0
2,Estimator,5,cloud_estimator_cpu,1,400,500,9,400,409,0,0
3,Controller,3,cloud_controller_cpu,2,400,600,3,400,403,0,0
4,Feedforward,3,cloud_feedforward_cpu,3,400,600,12,400,412,0,0
5,Merger,3,cloud_merger_cpu,4,400,600,3,400,403,0,0
1,Sensor,10,vehicle_sensor_cpu,1,450,500,6,450,456,0,0
1,Sensor,11,vehicle_sensor_cpu,1,500,550,6,500,506,0,0
2,Estimator,6,cloud_estimator_cpu,1,500,600,9,500,509,0,0
1,Sensor,12,vehicle_sensor_cpu,1,550,600,6,550,556,0,0
1,Sensor,13,vehicle_sensor_cpu,1,600,650,6,600,606,0,0
2,Estimator,7,cloud_estimator_cpu,1,600,700,9,600,609,0,0
6,Actuator,3,vehicle_actuator_cpu,1,600,900,5,600,605,0,0
3,Controller,4,cloud_controller_cpu,2,600,800,3,600,603,0,0
4,Feedforward,4,cloud_feedforward_cpu,3,600,800,12,600,612,0,0
5,Merger,4,cloud_merger_cpu,4,600,800,3,600,603,0,0
1,Sensor,14,vehicle_sensor_cpu,1,650,700,6,650,656,0,0
1,Sensor,15,vehicle_sensor_cpu,1,700,750,6,700,706,0,0
2,Estimator,8,cloud_estimator_cpu,1,700,800,9,700,709,0,0
1,Sensor,16,vehicle_sensor_cpu,1,750,800,6,750,756,0,0
1,Sensor,17,vehicle_sensor_cpu,1,800,850,6,800,806,0,0
2,Estimator,9,cloud_estimator_cpu,1,800,900,9,800,809,0,0
3,Controller,5,cloud_controller_cpu,2,800,1000,3,800,803,0,0
4,Feedforward,5,cloud_feedforward_cpu,3,800,1000,12,800,812,0,0
5,Merger,5,cloud_merger_cpu,4,800,1000,3,800,803,0,0
1,Sensor,18,vehicle_sensor_cpu,1,850,900,6,850,856,0,0
1,Sensor,19,vehicle_sensor_cpu,1,900,950,6,900,906,0,0
2,Estimator,10,cloud_estimator_cpu,1,900,1000,9,900,909,0,0
6,Actuator,4,vehicle_actuator_cpu,1,900,1200,5,900,905,0,0
1,Sensor,20,vehicle_sensor_cpu,1,950,1000,6,950,956,0,0
1,Sensor,21,vehicle_sensor_cpu,1,1000,1050,6,1000,1006,0,0
2,Estimator,11,cloud_estimator_cpu,1,1000,1100,9,1000,1009,0,0
3,Controller,6,cloud_controller_cpu,2,1000,1200,3,1000,1003,0,0
4,Feedforward,6,cloud_feedforward_cpu,3,1000,1200,12,1000,1012,0,0
5,Merger,6,cloud_merger_cpu,4,1000,1200,3,1000,1003,0,0
1,Sensor,22,vehicle_sensor_cpu,1,1050,1100,6,1050,1056,0,0
1,Sensor,23,vehicle_sensor_cpu,1,1100,1150,6,1100,1106,0,0
2,Estimator,12,cloud_estimator_cpu,1,1100,1200,9,1100,1109,0,0
1,Sensor,24,vehicle_sensor_cpu,1,1150,1200,6,1150,1156,0,0
1,Sensor,25,vehicle_sensor_cpu,1,1200,1250,6,1200,1206,0,0
2,Estimator,13,cloud_estimator_cpu,1,1200,1300,9,1200,1209,0,0
6,Actuator,5,vehicle_actuator_cpu,1,1200,1500,5,1200,1205,0,0
3,Controller,7,cloud_controller_cpu,2,1200,1400,3,1200,1203,0,0
4,Feedforward,7,cloud_feedforward_cpu,3,1200,1400,12,1200,1212,0,0
5,Merger,7,cloud_merger_cpu,4,1200,1400,3,1200,1203,0,0
1,Sensor,26,vehicle_sensor_cpu,1,1250,1300,6,1250,1256,0,0
1,Sensor,27,vehicle_sensor_cpu,1,1300,1350,6,1300,1306,0,0
2,Estimator,14,cloud_estimator_cpu,1,1300,1400,9,1300,1309,0,0
1,Sensor,28,vehicle_sensor_cpu,1,1350,1400,6,1350,1356,0,0
1,Sensor,29,vehicle_sensor_cpu,1,1400,1450,6,1400,1406,0,0
2,Estimator,15,cloud_estimator_cpu,1,1400,1500,9,1400,1409,0,0
3,Controller,8,cloud_controller_cpu,2,1400,1600,3,1400,1403,0,0
