packetId,direction,sourceTaskName,sourceJobId,publishTick,sendTick,receiveTick,sendColumn,receiveColumn,sendInTrace,receiveInTrace
2,downlink,Merger,1,3,4,84,13,14,1,1
1,uplink,Sensor,1,6,7,87,3,4,1,1
3,uplink,Sensor,2,56,57,137,3,4,1,1
4,uplink,Sensor,3,106,107,187,3,4,1,1
5,uplink,Sensor,4,156,157,237,3,4,1,1
7,downlink,Merger,2,203,204,284,13,14,1,1
6,uplink,Sensor,5,206,207,287,3,4,1,1
8,uplink,Sensor,6,256,257,337,3,4,1,1
9,uplink,Sensor,7,306,307,387,3,4,1,1
10,uplink,Sensor,8,356,357,437,3,4,1,1
12,downlink,Merger,3,403,404,484,13,14,1,1
11,uplink,Sensor,9,406,407,487,3,4,1,1
13,uplink,Sensor,10,456,457,537,3,4,1,1
14,uplink,Sensor,11,506,507,587,3,4,1,1
15,uplink,Sensor,12,556,557,637,3,4,1,1
17,downlink,Merger,4,603,604,684,13,14,1,1
16,uplink,Sensor,13,606,607,687,3,4,1,1
18,uplink,Sensor,14,656,657,737,3,4,1,1
19,uplink,Sensor,15,706,707,787,3,4,1,1
20,uplink,Sensor,16,756,757,837,3,4,1,1
22,downlink,Merger,5,803,804,884,13,14,1,1
21,uplink,Sensor,17,806,807,887,3,4,1,1
23,uplink,Sensor,18,856,857,937,3,4,1,1
24,uplink,Sensor,19,906,907,987,3,4,1,1
25,uplink,Sensor,20,956,957,1037,3,4,1,1
27,downlink,Merger,6,1003,1004,1084,13,14,1,1
26,uplink,Sensor,21,1006,1007,1087,3,4,1,1
28,uplink,Sensor,22,1056,1057,1137,3,4,1,1
29,uplink,Sensor,23,1106,1107,1187,3,4,1,1
30,uplink,Sensor,24,1156,1157,1237,3,4,1,1
32,downlink,Merger,7,1203,1204,1284,13,14,1,1
31,uplink,Sensor,25,1206,1207,1287,3,4,1,1
33,uplink,Sensor,26,1256,1257,1337,3,4,1,1
34,uplink,Sensor,27,1306,1307,1387,3,4,1,1
35,uplink,Sensor,28,1356,1357,1437,3,4,1,1
37,downlink,Merger,8,1403,1404,1484,13,14,1,1
36,uplink,Sensor,29,1406,1407,1487,3,4,1,1
38,uplink,Sensor,30,1456,1457,1537,3,4,1,1
39,uplink,Sensor,31,1506,1507,1587,3,4,1,1
40,uplink,Sensor,32,1556,1557,1637,3,4,1,1
42,downlink,Merger,9,1603,1604,1684,13,14,1,1
41,uplink,Sensor,33,1606,1607,1687,3,4,1,1
43,uplink,Sensor,34,1656,1657,1737,3,4,1,1
44,uplink,Sensor,35,1706,1707,1787,3,4,1,1
45,uplink,Sensor,36,1756,1757,1837,3,4,1,1
47,downlink,Merger,10,1803,1804,1884,13,14,1,1
46,uplink,Sensor,37,1806,1807,1887,3,4,1,1
48,uplink,Sensor,38,1856,1857,1937,3,4,1,1
49,uplink,Sensor,39,1906,1907,1987,3,4,1,1
50,uplink,Sensor,40,1956,1957,2037,3,4,1,1
52,downlink,Merger,11,2003,2004,2084,13,14,1,1
51,uplink,Sensor,41,2006,2007,2087,3,4,1,1
53,uplink,Sensor,42,2056,2057,2137,3,4,1,1
54,uplink,Sensor,43,2106,2107,2187,3,4,1,1
55,uplink,Sensor,44,2156,2157,2237,3,4,1,1
57,downlink,Merger,12,2203,2204,2284,13,14,1,1
56,uplink,Sensor,45,2206,2207,2287,3,4,1,1
58,uplink,Sensor,46,2256,2257,2337,3,4,1,1
59,uplink,Sensor,47,2306,2307,2387,3,4,1,1
60,uplink,Sensor,48,2356,2357,2437,3,4,1,1
62,downlink,Merger,13,2403,2404,2484,13,14,1,1
61,uplink,Sensor,49,2406,2407,2487,3,4,1,1
63,uplink,Sensor,50,2456,2457,2537,3,4,1,1
