eventTick,eventTimeSec,triggerColumn,triggerName
0,0,1,sensor_activated
0,0,5,estimator_activated
0,0,7,controller_activated
0,0,9,feedforward_activated
0,0,11,merger_activated
0,0,15,actuator_activated
3,0.0003,8,controller_finished
3,0.0003,12,merger_finished
4,0.0004,13,downlink_sent
5,0.0005,16,actuator_finished
6,0.0006,2,sensor_finished
7,0.0007,3,uplink_sent
9,0.0009,6,estimator_finished
12,0.0012,10,feedforward_finished
50,0.005,1,sensor_activated
56,0.0056,2,sensor_finished
57,0.0057,3,uplink_sent
84,0.0084,14,downlink_received
87,0.0087,4,uplink_received
100,0.01,1,sensor_activated
100,0.01,5,estimator_activated
106,0.0106,2,sensor_finished
107,0.0107,3,uplink_sent
109,0.0109,6,estimator_finished
137,0.0137,4,uplink_received
150,0.015,1,sensor_activated
156,0.0156,2,sensor_finished
157,0.0157,3,uplink_sent
187,0.0187,4,uplink_received
200,0.02,1,sensor_activated
200,0.02,5,estimator_activated
200,0.02,7,controller_activated
200,0.02,9,feedforward_activated
200,0.02,11,merger_activated
203,0.0203,8,controller_finished
203,0.0203,12,merger_finished
204,0.0204,13,downlink_sent
206,0.0206,2,sensor_finished
207,0.0207,3,uplink_sent
209,0.0209,6,estimator_finished
212,0.0212,10,feedforward_finished
237,0.0237,4,uplink_received
250,0.025,1,sensor_activated
256,0.0256,2,sensor_finished
257,0.0257,3,uplink_sent
284,0.0284,14,downlink_received
287,0.0287,4,uplink_received
300,0.03,1,sensor_activated
300,0.03,5,estimator_activated
300,0.03,15,actuator_activated
305,0.0305,16,actuator_finished
306,0.0306,2,sensor_finished
307,0.0307,3,uplink_sent
309,0.0309,6,estimator_finished
337,0.0337,4,uplink_received
350,0.035,1,sensor_activated
356,0.0356,2,sensor_finished
357,0.0357,3,uplink_sent
387,0.0387,4,uplink_received
400,0.04,1,sensor_activated
400,0.04,5,estimator_activated
400,0.04,7,controller_activated
400,0.04,9,feedforward_activated
400,0.04,11,merger_activated
403,0.0403,8,controller_finished
403,0.0403,12,merger_finished
404,0.0404,13,downlink_sent
406,0.0406,2,sensor_finished
407,0.0407,3,uplink_sent
409,0.0409,6,estimator_finished
412,0.0412,10,feedforward_finished
437,0.0437,4,uplink_received
450,0.045,1,sensor_activated
456,0.0456,2,sensor_finished
457,0.0457,3,uplink_sent
484,0.0484,14,downlink_received
487,0.0487,4,uplink_received
500,0.05,1,sensor_activated
500,0.05,5,estimator_activated
506,0.0506,2,sensor_finished
507,0.0507,3,uplink_sent
509,0.0509,6,estimator_finished
537,0.0537,4,uplink_received
550,0.055,1,sensor_activated
556,0.0556,2,sensor_finished
557,0.0557,3,uplink_sent
587,0.0587,4,uplink_received
600,0.06,1,sensor_activated
600,0.06,5,estimator_activated
600,0.06,7,controller_activated
600,0.06,9,feedforward_activated
600,0.06,11,merger_activated
600,0.06,15,actuator_activated
603,0.0603,8,controller_finished
603,0.0603,12,merger_finished
604,0.0604,13,downlink_sent
605,0.0605,16,actuator_finished
606,0.0606,2,sensor_finished
607,0.0607,3,uplink_sent
609,0.0609,6,estimator_finished
612,0.0612,10,feedforward_finished
637,0.0637,4,uplink_received
650,0.065,1,sensor_activated
656,0.0656,2,sensor_finished
657,0.0657,3,uplink_sent
684,0.0684,14,downlink_received
687,0.0687,4,uplink_received
700,0.07,1,sensor_activated
700,0.07,5,estimator_activated
706,0.0706,2,sensor_finished
707,0.0707,3,uplink_sent
709,0.0709,6,estimator_finished
737,0.0737,4,uplink_received
750,0.075,1,sensor_activated
756,0.0756,2,sensor_finished
757,0.0757,3,uplink_sent
787,0.0787,4,uplink_received
800,0.08,1,sensor_activated
800,0.08,5,estimator_activated
800,0.08,7,controller_activated
800,0.08,9,feedforward_activated
800,0.08,11,merger_activated
803,0.0803,8,controller_finished
803,0.0803,12,merger_finished
804,0.0804,13,downlink_sent
806,0.0806,2,sensor_finished
807,0.0807,3,uplink_sent
809,0.0809,6,estimator_finished
812,0.0812,10,feedforward_finished
837,0.0837,4,uplink_received
850,0.085,1,sensor_activated
856,0.0856,2,sensor_finished
857,0.0857,3,uplink_sent
884,0.0884,14,downlink_received
887,0.0887,4,uplink_received
900,0.09,1,sensor_activated
900,0.09,5,estimator_activated
900,0.09,15,actuator_activated
905,0.0905,16,actuator_finished
906,0.0906,2,sensor_finished
907,0.0907,3,uplink_sent
909,0.0909,6,estimator_finished
937,0.0937,4,uplink_received
950,0.095,1,sensor_activated
956,0.0956,2,sensor_finished
957,0.0957,3,uplink_sent
987,0.0987,4,uplink_received
1000,0.1,1,sensor_activated
1000,0.1,5,estimator_activated
1000,0.1,7,controller_activated
1000,0.1,9,feedforward_activated
1000,0.1,11,merger_activated
1003,0.1003,8,controller_finished
1003,0.1003,12,merger_finished
1004,0.1004,13,downlink_sent
1006,0.1006,2,sensor_finished
1007,0.1007,3,uplink_sent
1009,0.1009,6,estimator_finished
1012,0.1012,10,feedforward_finished
1037,0.1037,4,uplink_received
1050,0.105,1,sensor_activated
1056,0.1056,2,sensor_finished
1057,0.1057,3,uplink_sent
1084,0.1084,14,downlink_received
1087,0.1087,4,uplink_received
1100,0.11,1,sensor_activated
1100,0.11,5,estimator_activated
1106,0.1106,2,sensor_finished
1107,0.1107,3,uplink_sent
1109,0.1109,6,estimator_finished
1137,0.1137,4,uplink_received
1150,0.115,1,sensor_activated
1156,0.1156,2,sensor_finished
1157,0.1157,3,uplink_sent
1187,0.1187,4,uplink_received
1200,0.12,1,sensor_activated
1200,0.12,5,estimator_activated
1200,0.12,7,controller_activated
1200,0.12,9,feedforward_activated
1200,0.12,11,merger_activated
1200,0.12,15,actuator_activated
1203,0.1203,8,controller_finished
1203,0.1203,12,merger_finished
1204,0.1204,13,downlink_sent
1205,0.1205,16,actuator_finished
1206,0.1206,2,sensor_finished
1207,0.1207,3,uplink_sent
1209,0.1209,6,estimator_finished
1212,0.1212,10,feedforward_finished
1237,0.1237,4,uplink_received
1250,0.125,1,sensor_activated
1256,0.1256,2,sensor_finished
1257,0.1257,3,uplink_sent
1284,0.1284,14,downlink_received
1287,0.1287,4,uplink_received
1300,0.13,1,sensor_activated
1300,0.13,5,estimator_activated
1306,0.1306,2,sensor_finished
1307,0.1307,3,uplink_sent
1309,0.1309,6,estimator_finished
1337,0.1337,4,uplink_received
1350,0.135,1,sensor_activated
1356,0.1356,2,sensor_finished
1357,0.1357,3,uplink_sent
1387,0.1387,4,uplink_received
1400,0.14,1,sensor_activated
1400,0.14,5,estimator_activated
1400,0.14,7,controller_activated
1400,0.14,9,feedforward_activated
1400,0.14,11,merger_activated
1403,0.1403,8,controller_finished
1403,0.1403,12,merger_finished
1404,0.1404,13,downlink_sent
1406,0.1406,2,sensor_finished
1407,0.1407,3,uplink_sent
1409,0.1409,6,estimator_finished
1412,0.1412,10,feedforward_finished
1437,0.1437,4,uplink_received
1450,0.145,1,sensor_activated
1456,0.1456,2,sensor_finished
1457,0.1457,3,uplink_sent
1484,0.1484,14,downlink_received
1487,0.1487,4,uplink_received
1500,0.15,1,sensor_activated
1500,0.15,5,estimator_activated
1500,0.15,15,actuator_activated
1505,0.1505,16,actuator_finished
1506,0.1506,2,sensor_finished
1507,0.1507,3,uplink_sent
1509,0.1509,6,estimator_finished
1537,0.1537,4,uplink_received
1550,0.155,1,sensor_activated
1556,0.1556,2,sensor_finished
1557,0.1557,3,uplink_sent
1587,0.1587,4,uplink_received
1600,0.16,1,sensor_activated
1600,0.16,5,estimator_activated
1600,0.16,7,controller_activated
1600,0.16,9,feedforward_activated
1600,0.16,11,merger_activated
1603,0.1603,8,controller_finished
1603,0.1603,12,merger_finished
1604,0.1604,13,downlink_sent
1606,0.1606,2,sensor_finished
1607,0.1607,3,uplink_sent
1609,0.1609,6,estimator_finished
1612,0.1612,10,feedforward_finished
1637,0.1637,4,uplink_received
1650,0.165,1,sensor_activated
1656,0.1656,2,sensor_finished
1657,0.1657,3,uplink_sent
1684,0.1684,14,downlink_received
1687,0.1687,4,uplink_received
1700,0.17,1,sensor_activated
1700,0.17,5,estimator_activated
1706,0.1706,2,sensor_finished
1707,0.1707,3,uplink_sent
1709,0.1709,6,estimator_finished
1737,0.1737,4,uplink_received
1750,0.175,1,sensor_activated
1756,0.1756,2,sensor_finished
1757,0.1757,3,uplink_sent
1787,0.1787,4,uplink_received
1800,0.18,1,sensor_activated
1800,0.18,5,estimator_activated
1800,0.18,7,controller_activated
1800,0.18,9,feedforward_activated
1800,0.18,11,merger_activated
1800,0.18,15,actuator_activated
1803,0.1803,8,controller_finished
1803,0.1803,12,merger_finished
1804,0.1804,13,downlink_sent
1805,0.1805,16,actuator_finished
1806,0.1806,2,sensor_finished
1807,0.1807,3,uplink_sent
1809,0.1809,6,estimator_finished
1812,0.1812,10,feedforward_finished
1837,0.1837,4,uplink_received
1850,0.185,1,sensor_activated
1856,0.1856,2,sensor_finished
1857,0.1857,3,uplink_sent
1884,0.1884,14,downlink_received
1887,0.1887,4,uplink_received
1900,0.19,1,sensor_activated
1900,0.19,5,estimator_activated
1906,0.1906,2,sensor_finished
1907,0.1907,3,uplink_sent
1909,0.1909,6,estimator_finished
1937,0.1937,4,uplink_received
1950,0.195,1,sensor_activated
1956,0.1956,2,sensor_finished
1957,0.1957,3,uplink_sent
1987,0.1987,4,uplink_received
2000,0.2,1,sensor_activated
2000,0.2,5,estimator_activated
2000,0.2,7,controller_activated
2000,0.2,9,feedforward_activated
2000,0.2,11,merger_activated
2003,0.2003,8,controller_finished
2003,0.2003,12,merger_finished
2004,0.2004,13,downlink_sent
2006,0.2006,2,sensor_finished
2007,0.2007,3,uplink_sent
2009,0.2009,6,estimator_finished
2012,0.2012,10,feedforward_finished
2037,0.2037,4,uplink_received
2050,0.205,1,sensor_activated
2056,0.2056,2,sensor_finished
2057,0.2057,3,uplink_sent
